À½½ÄÀÌ¸§,°Ë»ö·®,1¿ù,2¿ù,3¿ù,4¿ù,5¿ù,6¿ù,7¿ù,8¿ù,9¿ù,10¿ù,11¿ù,12¿ù,10´ë,20´ë,30´ë,40´ë,50´ë,³²¼º,¿©¼º
ÆÈº¸Ã¤,63700,8.6,8.8,8.5,7.8,8.7,7.8,8.3,8.8,7.6,7.5,7.6,9.9,2.9,18.8,30.9,30,17.5,48.1,51.9
Ä¥¸®»õ¿ì,9460,9.3,8.5,8.2,7.6,7.7,7.7,8,8.1,8.7,8.7,7.9,9.6,5.3,21.8,27.8,31.3,13.9,33.5,66.5
Å©¸²»õ¿ì,6240,8.2,7.7,8,7.4,9.9,9.4,7.8,7.6,8,8.7,7.3,10,9.7,29.1,29.1,23.3,8.9,33.5,66.5
Àü,33600,9.7,9.6,7.7,7.8,7.6,7.8,7.5,7.9,12.3,7.7,7.3,7.1,6.9,19.3,24.5,29.9,19.4,36,64
¼ö¹ÚÈ­Ã¤,1230,0.6,0.7,0.9,2.4,12.1,25.6,36.5,18,1.4,0.6,0.5,0.5,9.5,21.6,29.6,30.9,8.5,32.6,67.4
¶±²¿Ä¡,10500,9.3,8.7,8.4,8.8,8.2,8,7.3,7.3,7.8,8.7,8.9,8.5,7.4,30.6,35.9,22.1,3.9,24.3,75.7
³ªº£,17000,8.8,8.1,8.1,7.9,6.8,6.3,6.7,7.5,13.3,7.8,8.7,9.9,13.5,35.9,20.8,17.4,12.4,47.6,52.4
½ºÅ°¾ßÅ°,39100,7.1,7.5,6.1,5.3,11.2,8.3,6.1,5.6,6.1,8.1,7.5,20.9,9.1,36.8,28.5,17.4,8.2,36.5,63.5
À¯¸°±â,59400,7.2,8.8,8,8,8.8,9.4,8.5,8.6,8.3,8.1,7.9,8.5,8.9,30,26.6,22,12.5,43.7,56.3
µ¿ÆÄÀ°,28200,7.6,9,8.6,7.1,8.8,7.6,7.4,9.8,9,8.5,8.6,8.3,13.3,25.9,26.8,21.8,12.3,45.9,54.1
º£ÀÌÂ¡´ö,15000,6.4,6.1,18,7.1,7.6,7.8,7.1,7.2,7.3,7.6,9.3,8.5,7,22.5,34,24.6,11.9,46.7,53.3
µÅÁö²®µ¥±â,26200,7.5,7.5,9.5,8.3,7.9,8.7,9.2,10.2,8.1,8.1,7.7,7.4,7.2,25.4,32.7,23.4,11.4,46.3,53.7
À°È¸,62700,8.6,8.3,8.6,8.4,8.6,8,7.5,7.9,8.7,8.4,7.8,9.1,7.2,33.6,28.7,22.3,8.2,48.3,51.7
ÈÌ±Å,68600,13.5,8.2,7.6,6.7,6.9,6.6,7.7,7.8,9.2,7.9,8.5,9.4,18.8,33.5,22.1,17.6,8,37.9,62.1
¸àº¸»þ,26100,8.3,7.3,6.4,9,10.7,8.1,8.9,6.4,6.6,11.2,10.7,6.6,9.6,24.1,24.7,25.4,16.3,45.7,54.3
»õ¿ìÆ¢±è,28700,10.9,10.3,6.7,6,5.7,7.1,5.9,7.6,17.4,10.2,6,6.1,3,11.7,29.7,36.1,19.5,29.5,70.5
µµÅä¸®¹¬,30100,7.5,7.7,8,8,8.5,8.6,8.2,8.4,9.7,10.8,7.9,6.7,3.5,18.2,32.3,29.6,16.4,26.6,73.4
±¹¹ä,154000,7.2,6.9,7.1,7.6,8.1,8.4,8.3,9.6,9.5,10.2,9.1,8.1,10.6,43.1,27.7,14.8,3.8,57.1,42.9
